symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
CDC37	0.004040917808177226	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	0.01135389957824405	No data	No data	0	0	0	1	0	0.7619050000000002	No data	-0.870711527854385	-0.05373224667943238	-1	No data	No data	0	-1	-1
GLIS3	0.00402151301654612	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	0.010715511402901003	No data	No data	0	0	0	0	0	0.20429999999999993	No data	-0.19966905681191394	-0.7064535923270051	0	No data	No data	0	0.5	0
TLCD1	0.004021226904321529	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	0.01070609874521974	No data	No data	1	0	0	0	0	0.35222499999999995	No data	0.5060121345835631	No data	0	No data	No data	0	-1	0
PYGB	0.004011584000460947	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.032993755343710705	No data	No data	No data	0	0	0	1	0	0.780545	No data	0.09586321014892452	No data	0	No data	No data	-0.5877825000000001	-1	-1
CRIP2	0.004009367881040506	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03297552860286169	No data	No data	1	0	0	0	0	0.6394249999999999	No data	0.717484831770546	No data	0	No data	No data	-0.026442499999999924	0.5	-1
CFAP251	0.004009294184772245	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03297492247903517	No data	No data	0	0	0	0	0	0	No data	-0.23938223938223935	No data	0	No data	No data	0	0.5	0
SMIM22	0.0040073969246617195	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.032959318234950324	No data	No data	0	0	0	0	0	0	No data	0.9973524544953116	0	0	No data	No data	No data	0.5	0
EPHX3	0.00399665038178157	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.032870931999852755	No data	No data	0	0	0	0	0	0.13888999999999996	No data	0.34120242691671265	No data	0	No data	No data	0	0.75	0
SCARB2	0.003966625283730762	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03262398696787899	No data	No data	0	0	0	0	0	0.2887050000000002	No data	-0.45990071704357416	-0.9410924650164162	0	No data	No data	0	-1	-1
SPRY1	0.003965470102986969	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	0.008871784657050116	No data	No data	0	0	0	0	0	0.16927999999999982	No data	0.42040816326530606	-0.7855083529669523	0	No data	No data	0	0.5	-1
H2AC6	0.00396054931713734	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.032574014449483046	No data	No data	0	0	0	0	0	No data	No data	0.6303364589078875	No data	-1	No data	No data	-0.98077	-1	0
TCAF1	0.003957672290820294	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.032550352000333	No data	No data	0	0	0	0	0	0.5113999999999997	No data	-0.34738003309431886	No data	0	No data	No data	-0.11509250000000008	-1	-1
SH3RF2	0.003951911734705287	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	0.008425734931161931	No data	No data	0	0	0	0	0	0.0809350000000002	No data	-0.12421400992829568	-0.7763503964239471	0	No data	No data	0	0.5	0
SDR16C5	0.003929911087000891	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03232202663888999	No data	No data	0	0	0	0	0	0	No data	0.3877551020408163	No data	0	No data	No data	0	0.5	0
CCDC198	0.003916147995092585	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03220883043331546	No data	No data	0	0	0	0	0	0	No data	-0.44478764478764476	-0.7110055081687202	0	No data	No data	No data	0.5	0.5
TFF2	0.0039006704449826408	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02870784322054877	0.013494760957617343	No data	No data	0	1	0	0	0	0.0697650000000003	No data	0.8157749586321015	-0.015470268904061446	0	No data	No data	0	1	0.5
EFCAB10	0.0038960503785846214	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03204353516790926	No data	No data	No data	No data	0	0	0	0	No data	0.9148372862658576	No data	No data	No data	No data	0	0.75	0
NMD3	0.0038909007502442375	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	0.02896152744188776	No data	No data	0	0	0	0	0	0.7415500000000002	No data	-0.1610590182018753	-0.4395229065692238	-1	No data	No data	No data	-1	-1
VWDE	0.003874408729122487	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03186554081767106	No data	No data	0	1	0	0	0	No data	No data	0.4937672366243795	0	0	No data	No data	0	0.5	0.5
MID1IP1	0.003873934031747249	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03186163661198595	No data	No data	0	0	0	0	0	0.3989049999999999	No data	No data	0	0	No data	No data	0	0.5	-1
ZNF423	0.0038687725271397523	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.031819185196234556	No data	No data	0	0	0	0	0	0.9148600000000002	No data	-0.9586321014892444	-0.9329169804003037	0	No data	No data	-0.09829749999999997	0.5	0
KCNK15	0.0038497901529656437	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03166306237560527	No data	No data	No data	0	0	0	0	0	0	No data	0.9840044125758411	-0.05901705023956677	0	No data	No data	0	1	0
EDEM3	0.003846162363134441	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03163322518159029	No data	No data	0	0	0	0	0	0.7156649999999999	No data	-0.4773303916161059	-0.5305768363163179	0	No data	No data	0	-1	-1
ACP1	0.0038267940731185955	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03147392834968165	No data	No data	No data	0	0	1	1	0	0.24050500000000027	0	0.714065085493657	0	0	-1	No data	0	-1	-1
ZNF532	0.003823574337902015	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.031447447249947684	No data	No data	0	0	0	0	0	0.5695599999999998	No data	-0.8813017098731384	-0.1921876287669136	0	No data	No data	0	-1	-1
IGFL2	0.003813649791061244	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	0.028326167632132356	No data	No data	1	1	0	0	0	No data	No data	-0.21059018201875346	No data	0	No data	No data	0	1	0.5
WASF2	0.003763897803500042	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.023874793379536387	0.024987932066729158	No data	No data	1	0	0	0	0	0.5783149999999999	No data	-0.7263099834528406	-0.9426065268357428	0	No data	No data	0	-1	-1
TM9SF2	0.0037600211843958147	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03092474669129954	No data	No data	0	0	0	0	0	0.7812950000000001	No data	-0.9198014340871483	0	0	No data	No data	0	-1	-1
TRAF4	0.0037573951892944687	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03090314887859074	No data	No data	No data	0	0	0	0	0	0.8404249999999998	No data	-0.8514065085493657	-0.707829479082091	0	No data	No data	0	-1	0
NRCAM	0.0037573951892944687	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03090314887859074	No data	No data	No data	1	1	0	0	0	0.24079499999999995	No data	-0.5006067291781577	-0.7065715233562649	0	No data	No data	0	0.5	0
DIPK1A	0.0037044427373811527	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03046763506582332	No data	No data	0	0	0	0	0	0.8481299999999997	No data	0.44644236072807497	-0.5075911764237512	0	No data	No data	0	-1	-1
PKP4	0.003698211129691979	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03041638245850636	No data	No data	1	0	0	0	0	0.823825	No data	-0.362934362934363	-0.21929867103040152	0	No data	No data	0	1	-1
LUC7L	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.8517499999999998	No data	-0.2523993381136238	-0.8295108801685604	0	No data	No data	-0.3665775	-1	-1
C1orf159	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0	No data	0.2810810810810811	0	0	No data	No data	No data	0.5	0
KLHL31	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	No data	No data	0	0	0	0.6056800000000002	No data	-0.05096525096525095	0	0	No data	No data	0	0.5	0.5
MGAT4A	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	1	0	0	0	0.6822450000000003	No data	-0.3765030336458908	-0.6585247040856912	0	No data	No data	-0.042055000000000044	0.5	-1
GRHPR	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	1	0.2835349999999998	No data	0.5250965250965252	-0.297085582462788	0	No data	No data	0	0.5	-1
GET4	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.75535	No data	0.30193050193050186	-0.4025292816482848	0	No data	No data	No data	-1	-1
PYHIN1	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	No data	No data	0.10126861555432987	-0.6399472362188768	0	No data	No data	-0.12093500000000006	1	0
MCUR1	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0	No data	0.5455046883618313	0	0	No data	No data	0	0.5	-1
AOC2	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	1	0	0	1	0	0.047619999999999864	No data	0.5024820739106453	No data	0	No data	No data	-0.14682500000000012	-1	0
GAR1	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.8156700000000001	No data	0.2931053502482075	-0.1250770947412433	-1	No data	No data	No data	-1	-1
TMEM79	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.14974500000000007	No data	0.5140650854936568	-0.6646180886273395	0	No data	No data	No data	0.5	0
SNUPN	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	1	0	0	0	1	0.5972200000000001	No data	-0.28968560397131826	No data	-1	No data	No data	No data	-1	-1
